@relation "asm"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{org.objectweb.asm.tree.analysis.AnalyzerException,java.lang.IllegalStateException,java.lang.AssertionError,java.lang.UnsupportedOperationException,java.lang.IllegalArgumentException,org.objectweb.asm.tree.UnsupportedClassVersionException}

@data
33,"IfStatement","null",true,"owner values ","int org.objectweb.asm.Type java.util.List boolean org.objectweb.asm.tree.analysis.BasicValue java.util.List ","","get isSubTypeOf newValue ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
34,"IfStatement","null",false,"expected actual ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isSubTypeOf ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
35,"IfStatement","null",true,"expected value ","org.objectweb.asm.tree.analysis.BasicValue boolean ","","isSubTypeOf ","AnalyzerException ","",org.objectweb.asm.tree.analysis.AnalyzerException
36,"IfStatement","null",false,"","org.objectweb.asm.tree.analysis.BasicInterpreter java.lang.Class ","","getClass ","","",java.lang.IllegalStateException
37,"SwitchStatement","null",true,"type ","org.objectweb.asm.Type int ","","getSort ","","",java.lang.AssertionError
38,"IfStatement","null",false,"sort method ","int org.objectweb.asm.Type ","","","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException java.lang.AssertionError ",org.objectweb.asm.tree.analysis.AnalyzerException
39,"IfStatement","null",false,"value ","java.lang.Object org.objectweb.asm.ConstantDynamic ","","","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException java.lang.AssertionError ",org.objectweb.asm.tree.analysis.AnalyzerException
40,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",java.lang.AssertionError
41,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","java.lang.AssertionError ",org.objectweb.asm.tree.analysis.AnalyzerException
42,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException ",java.lang.AssertionError
43,"SwitchStatement","null",true,"insn ","org.objectweb.asm.tree.AbstractInsnNode int ","","getOpcode ","AnalyzerException ","",java.lang.AssertionError
44,"IfStatement","null",false,"subroutine ","org.objectweb.asm.tree.analysis.Subroutine ","NULL ","","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
45,"CatchClause","org.objectweb.asm.tree.analysis.AnalyzerException",false,"handlers insn list ret max locals frame jsr insn index insn opcode lookup switch insn dstore caller insn node ","int org.objectweb.asm.tree.analysis.Subroutine org.objectweb.asm.tree.analysis.Frame org.objectweb.asm.tree.AbstractInsnNode void org.objectweb.asm.tree.JumpInsnNode org.objectweb.asm.tree.InsnList org.objectweb.asm.tree.TryCatchBlockNode org.objectweb.asm.Type org.objectweb.asm.tree.LabelNode org.objectweb.asm.tree.TableSwitchInsnNode ","NULL RET instruction outside of a sub routine java/lang/Throwable ","merge newControlFlowEdge indexOf get size getObjectType clearStack newFrame newControlFlowExceptionEdge push getType ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
46,"CatchClause","java.lang.RuntimeException",false,"handlers insn list ret max locals frame jsr insn index insn opcode lookup switch insn dstore caller insn node ","int org.objectweb.asm.tree.analysis.Subroutine org.objectweb.asm.tree.analysis.Frame org.objectweb.asm.tree.AbstractInsnNode void org.objectweb.asm.tree.JumpInsnNode org.objectweb.asm.tree.InsnList org.objectweb.asm.tree.TryCatchBlockNode org.objectweb.asm.Type org.objectweb.asm.tree.LabelNode org.objectweb.asm.tree.TableSwitchInsnNode ","NULL RET instruction outside of a sub routine java/lang/Throwable ","merge newControlFlowEdge indexOf get size getObjectType clearStack newFrame newControlFlowExceptionEdge push getType ","AnalyzerException ","org.objectweb.asm.tree.analysis.AnalyzerException org.objectweb.asm.tree.analysis.AnalyzerException ",org.objectweb.asm.tree.analysis.AnalyzerException
47,"IfStatement","null",false,"current insn index insn list size ","int ","","","AnalyzerException ","",org.objectweb.asm.tree.analysis.AnalyzerException
48,"IfStatement","null",false,"","java.lang.Class org.objectweb.asm.commons.LocalVariablesSorter ","","getClass ","","",java.lang.IllegalStateException
49,"SwitchStatement","null",true,"opcode ","int ","","","","",java.lang.IllegalArgumentException
