@relation "poi"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{org.apache.poi.EncryptedDocumentException,java.io.IOException,java.lang.IllegalStateException,java.lang.IllegalArgumentException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,java.util.NoSuchElementException,org.apache.poi.util.RecordFormatException,org.apache.poi.hpsf.HPSFRuntimeException,java.lang.Exception,java.lang.ArrayIndexOutOfBoundsException,java.lang.NullPointerException,java.lang.IndexOutOfBoundsException,java.io.FileNotFoundException,org.apache.poi.ss.formula.eval.NotImplementedException,org.apache.poi.ss.formula.FormulaParseException,org.apache.poi.ss.formula.eval.EvaluationException,org.apache.poi.ss.formula.eval.ErrorEval,org.apache.poi.ooxml.POIXMLException,org.apache.poi.openxml4j.exceptions.InvalidFormatException,org.apache.poi.openxml4j.exceptions.InvalidOperationException,org.apache.poi.xssf.binary.XSSFBParseException,org.apache.poi.hslf.exceptions.HSLFException,org.apache.poi.hslf.exceptions.CorruptPowerPointFileException}

@data
74,"IfStatement","null",false,"ris ","org.apache.poi.hssf.record.RecordInputStream boolean ","","hasNextRecord ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
75,"SwitchStatement","null",false,"bof sid ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
76,"SwitchStatement","null",false,"sid ","int ","","","","",org.apache.poi.EncryptedDocumentException
77,"SwitchStatement","null",false,"cell ","org.apache.poi.hssf.usermodel.HSSFCell org.apache.poi.ss.usermodel.CellType ","","getCachedFormulaResultType ","","java.lang.RuntimeException ",java.lang.IllegalStateException
78,"SwitchStatement","null",false,"cell ","org.apache.poi.hssf.usermodel.HSSFCell org.apache.poi.ss.usermodel.CellType ","","getCellType ","","java.lang.IllegalStateException ",java.lang.RuntimeException
79,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
80,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
81,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
82,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
83,"CatchClause","java.io.IOException",false,"_text text ","java.lang.String org.apache.poi.hssf.extractor.EventBasedExcelExtractor.TextListener java.lang.StringBuilder boolean ","","endsWith triggerExtraction toString ","","",java.lang.RuntimeException
84,"IfStatement","null",false,"sst record ","org.apache.poi.hssf.record.SSTRecord ","NULL ","","","",java.lang.IllegalStateException
85,"MethodDeclaration","null",true,"drawing group id ","short org.apache.poi.ddf.EscherDgRecord ","","getDrawingGroupId ","","",java.lang.IllegalStateException
86,"IfStatement","null",true,"","org.apache.poi.hssf.model.RecordStream boolean ","","hasNext ","","java.lang.RuntimeException ",java.lang.RuntimeException
87,"IfStatement","null",false,"prev rec ","org.apache.poi.hssf.record.Record org.apache.poi.hssf.record.FormulaRecord ","","","","java.lang.RuntimeException ",java.lang.RuntimeException
88,"SwitchStatement","null",false,"rec ","org.apache.poi.hssf.record.Record short ","","getSid ","","",org.apache.poi.util.RecordFormatException
89,"IfStatement","null",false,"index numfonts ","int ","","","","",java.lang.ArrayIndexOutOfBoundsException
90,"MethodDeclaration","null",true,"this font font ","org.apache.poi.hssf.record.FontRecord ","","","","",java.lang.IllegalArgumentException
91,"IfStatement","null",true,"boundsheets sheetnum ","int java.util.List ","","size ","","",java.lang.RuntimeException
92,"IfStatement","null",false,"add at ","int ","","","","",java.lang.IllegalStateException
93,"IfStatement","null",true,"length mappings ","int int ","","","","",java.lang.IllegalArgumentException
94,"SwitchStatement","null",true,"","int ","","","","",java.lang.IllegalStateException
95,"IfStatement","null",true,"length mappings ","int int ","","","","",java.lang.IllegalArgumentException
96,"IfStatement","null",true,"sheet number max_value ","int short java.lang.Short ","","","","java.lang.RuntimeException ",java.lang.IllegalArgumentException
97,"IfStatement","null",false,"name link table ","org.apache.poi.hssf.model.LinkTable org.apache.poi.hssf.record.NameRecord boolean ","","nameAlreadyExists ","","java.lang.IllegalArgumentException ",java.lang.RuntimeException
98,"IfStatement","null",false,"rec ","org.apache.poi.hssf.record.Record org.apache.poi.hssf.record.PaletteRecord ","","","","",java.lang.RuntimeException
99,"IfStatement","null",false,"","org.apache.poi.ddf.EscherDgRecord ","NULL ","","","",org.apache.poi.util.RecordFormatException
100,"IfStatement","null",false,"n items ","int ","","","","",java.lang.RuntimeException
101,"IfStatement","null",false,"idx ","int ","","","","",java.lang.RuntimeException
102,"IfStatement","null",false,"external book index ","int ","","","","",java.lang.RuntimeException
103,"MethodDeclaration","null",true,"sheet name sheet names ","java.lang.String int java.lang.String boolean ","","equals ","","",java.lang.RuntimeException
104,"IfStatement","null",false,"this wb index ","int ","","","","",java.lang.RuntimeException
105,"IfStatement","null",false,"first tab index ","int ","","","","java.lang.ArrayIndexOutOfBoundsException ",java.lang.RuntimeException
106,"IfStatement","null",false,"first tab index ","int ","","","","java.lang.RuntimeException ",java.lang.ArrayIndexOutOfBoundsException
107,"IfStatement","null",true,"sid ","org.apache.poi.hssf.model.RecordStream short int org.apache.poi.hssf.record.BOFRecord ","","peekNextSid ","","org.apache.poi.hssf.model.InternalSheet.UnsupportedBOFType org.apache.poi.util.RecordFormatException org.apache.poi.util.RecordFormatException ",org.apache.poi.util.RecordFormatException
108,"IfStatement","null",false,"rra ","org.apache.poi.hssf.record.aggregates.RowRecordsAggregate ","NULL ","","","org.apache.poi.util.RecordFormatException org.apache.poi.hssf.model.InternalSheet.UnsupportedBOFType org.apache.poi.util.RecordFormatException ",org.apache.poi.util.RecordFormatException
109,"IfStatement","null",false,"window two ","org.apache.poi.hssf.record.WindowTwoRecord ","NULL ","","","org.apache.poi.util.RecordFormatException org.apache.poi.hssf.model.InternalSheet.UnsupportedBOFType org.apache.poi.util.RecordFormatException ",org.apache.poi.util.RecordFormatException
110,"IfStatement","null",true,"row to row from ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
111,"IfStatement","null",true,"col from col to ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
112,"IfStatement","null",true,"width ","int ","256 255 ","","","",java.lang.IllegalArgumentException
113,"IfStatement","null",false,"","boolean ","","hasNext ","","",java.lang.RuntimeException
114,"MethodDeclaration","null",true,"rec class ","java.lang.Class java.lang.Class org.apache.poi.hssf.record.aggregates.PageSettingsBlock org.apache.poi.hssf.record.aggregates.MergedCellsTable org.apache.poi.hssf.record.aggregates.DataValidityTable org.apache.poi.hssf.record.GutsRecord org.apache.poi.hssf.record.aggregates.WorksheetProtectionBlock org.apache.poi.hssf.record.aggregates.ConditionalFormattingTable ","","","","",java.lang.RuntimeException
115,"MethodDeclaration","null",false,"","java.lang.Object boolean ","","isProtectionSubsequentRecord ","","",java.lang.IllegalStateException
116,"MethodDeclaration","null",false,"","java.lang.Object boolean ","","isPageBreakPriorRecord ","","",java.lang.RuntimeException
117,"MethodDeclaration","null",false,"","java.lang.Object org.apache.poi.hssf.record.aggregates.DataValidityTable org.apache.poi.hssf.record.aggregates.MergedCellsTable ","","","","",java.lang.RuntimeException
118,"MethodDeclaration","null",false,"","java.lang.Object org.apache.poi.hssf.record.Record ","","","","",java.lang.RuntimeException
119,"IfStatement","null",true,"records ","int java.util.List org.apache.poi.hssf.record.EOFRecord org.apache.poi.hssf.record.RecordBase ","","get ","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
120,"IfStatement","null",false,"next rec ","org.apache.poi.hssf.record.Record short boolean ","","getSid isDVTSubsequentRecord ","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
121,"IfStatement","null",false,"rec ","org.apache.poi.hssf.record.Record short boolean ","","getSid isDVTSubsequentRecord ","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
122,"MethodDeclaration","null",true,"records ","int java.util.List org.apache.poi.hssf.record.DimensionsRecord org.apache.poi.hssf.record.RecordBase ","","get ","","",java.lang.RuntimeException
123,"MethodDeclaration","null",false,"","org.apache.poi.hssf.record.RecordBase boolean ","","isGutsPriorRecord ","","",java.lang.RuntimeException
124,"SwitchStatement","null",true,"sid ","int ","","","","",java.lang.RuntimeException
125,"IfStatement","null",true,"encoded_size size ","int ","","","","",org.apache.poi.util.RecordFormatException
126,"IfStatement","null",true,"out rec size offset ","int org.apache.poi.util.LittleEndianByteArrayOutputStream ","","getWriteIndex ","","java.lang.IllegalStateException ",java.lang.IllegalStateException
127,"CatchClause","java.io.IOException",true,"data size out rec size offset ","int org.apache.poi.util.LittleEndianByteArrayOutputStream void java.lang.String short java.lang.Class java.lang.IllegalStateException ","Error in serialization of (  but got  Incorrect number of bytes written - expected  ):  ","getWriteIndex writeShort getSid getClass serialize getName ","","java.lang.IllegalStateException ",java.lang.IllegalStateException
128,"SwitchStatement","null",false,"result ","byte ","","","","",org.apache.poi.util.RecordFormatException
129,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
130,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
131,"IfStatement","null",false,"boolean ","int ","","getTypeCode ","","",java.lang.IllegalStateException
132,"IfStatement","null",false,"error_code ","int ","","getTypeCode ","","",java.lang.IllegalStateException
133,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
134,"IfStatement","null",true,"requested length ","int ","0x100000 ","","","",java.lang.IllegalArgumentException
135,"IfStatement","null",true,"","org.apache.poi.hssf.record.RecordInputStream int ","","remaining ","","org.apache.poi.util.RecordFormatException org.apache.poi.util.RecordFormatException ",org.apache.poi.util.RecordFormatException
136,"IfStatement","null",false,"ptgs length ","int org.apache.poi.ss.formula.ptg.Ptg ","","","","org.apache.poi.util.RecordFormatException org.apache.poi.util.RecordFormatException ",org.apache.poi.util.RecordFormatException
137,"IfStatement","null",true,"","org.apache.poi.hssf.record.RecordInputStream int ","","remaining ","","org.apache.poi.util.RecordFormatException org.apache.poi.util.RecordFormatException ",org.apache.poi.util.RecordFormatException
138,"IfStatement","null",true,"format_run_encoded_size formatting run data length ","int ","","","","",org.apache.poi.util.RecordFormatException
139,"IfStatement","null",false,"field_2_name_length ","int ","","","","",org.apache.poi.util.RecordFormatException
140,"IfStatement","null",true,"thedata ","byte ","NULL ","","","",java.lang.IllegalArgumentException
141,"SwitchStatement","null",true,"","org.apache.poi.hssf.record.RecordInputStream int ","","remaining ","","",java.lang.RuntimeException
142,"IfStatement","null",true,"size length ","short int ","","","","",org.apache.poi.util.RecordFormatException
143,"IfStatement","null",false,"field_1_number_of_sheets ","short ","","","","java.lang.RuntimeException ",java.lang.RuntimeException
144,"IfStatement","null",false,"tag_add_in_functions next short ","short ","","","","java.lang.RuntimeException ",java.lang.RuntimeException
145,"IfStatement","null",true,"condition_type condition_type_formula condition_type_cell_value_is ","byte ","","","","",java.lang.IllegalArgumentException
146,"IfStatement","null",true,"operation max_operator ","byte org.apache.poi.hssf.record.CFRuleBase.ComparisonOperator ","","","","",java.lang.IllegalArgumentException
147,"MethodDeclaration","null",false,"","","","","","",org.apache.poi.util.RecordFormatException
148,"MethodDeclaration","null",false,"","","","","","",org.apache.poi.util.RecordFormatException
149,"IfStatement","null",true,"size length ","short int ","","","","",org.apache.poi.util.RecordFormatException
150,"IfStatement","null",true,"encoded_size size ","int ","0xFF ","","","",org.apache.poi.util.RecordFormatException
151,"IfStatement","null",true,"data_size ","int org.apache.poi.hssf.record.RecordInputStream ","","remaining ","","",org.apache.poi.util.RecordFormatException
152,"IfStatement","null",false,"padding size ","int ","","","","",java.lang.IllegalArgumentException
153,"IfStatement","null",false,"size baos ","int java.io.ByteArrayOutputStream ","","size ","","",java.lang.RuntimeException
154,"IfStatement","null",false,"stream version ","int ","0x00000002 ","","","",org.apache.poi.util.RecordFormatException
155,"MethodDeclaration","null",false,"","","","","","",org.apache.poi.util.RecordFormatException
156,"SwitchStatement","null",false,"encryption type ","int ","","","","org.apache.poi.EncryptedDocumentException ",org.apache.poi.EncryptedDocumentException
157,"CatchClause","java.io.IOException",true,"encryption info preferred mode ","org.apache.poi.poifs.crypt.EncryptionInfo org.apache.poi.hssf.record.RecordInputStream org.apache.poi.poifs.crypt.EncryptionMode ","","","","org.apache.poi.EncryptedDocumentException ",org.apache.poi.EncryptedDocumentException
158,"SwitchStatement","null",false,"encryption info ","org.apache.poi.poifs.crypt.EncryptionInfo org.apache.poi.poifs.crypt.EncryptionMode ","","getEncryptionMode ","","java.lang.IllegalStateException ",org.apache.poi.EncryptedDocumentException
159,"CatchClause","java.io.IOException",true,"bos xor encryption info crypto a p i out data binary r c4 ","org.apache.poi.poifs.crypt.EncryptionInfo org.apache.poi.util.LittleEndianByteArrayOutputStream void org.apache.poi.util.LittleEndianOutput org.apache.poi.poifs.crypt.EncryptionMode int org.apache.poi.poifs.crypt.EncryptionVerifier org.apache.poi.poifs.crypt.EncryptionHeader byte org.apache.poi.poifs.crypt.binaryrc4.BinaryRC4EncryptionVerifier org.apache.poi.poifs.crypt.cryptoapi.CryptoAPIEncryptionHeader ","not supported ","write writeShort getHeader getVerifier getVersionMinor getVersionMajor getWriteIndex getEncryptionFlags getEncryptionMode writeInt ","","org.apache.poi.EncryptedDocumentException ",java.lang.IllegalStateException
