@relation "shiro"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalStateException,java.lang.IllegalArgumentException,java.lang.NullPointerException,org.apache.shiro.config.ConfigurationException,org.apache.shiro.authc.AuthenticationException,org.apache.shiro.session.InvalidSessionException,org.apache.shiro.cache.CacheException}

@data
45,"IfStatement","null",true,"aggregate ","org.apache.shiro.authc.AuthenticationInfo org.apache.shiro.authc.MergableAuthenticationInfo ","","","","",java.lang.IllegalArgumentException
46,"IfStatement","null",false,"realms ","java.util.Collection boolean ","NULL ","isEmpty ","IllegalStateException ","",java.lang.IllegalStateException
47,"IfStatement","null",true,"domain ","java.lang.String boolean org.apache.shiro.util.StringUtils ","","hasText ","","",java.lang.IllegalArgumentException
48,"IfStatement","null",true,"wildcard string ","java.lang.String boolean ","NULL ","isEmpty ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
49,"IfStatement","null",false,"subparts ","java.util.Set boolean ","","isEmpty ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
50,"IfStatement","null",false,"parts ","java.util.List boolean ","","isEmpty ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
51,"IfStatement","null",true,"target executor ","java.util.concurrent.Executor ","NULL ","","","",java.lang.NullPointerException
52,"IfStatement","null",true,"target executor ","java.util.concurrent.Executor java.util.concurrent.ExecutorService ","","","","",java.lang.IllegalArgumentException
53,"IfStatement","null",true,"target executor ","java.util.concurrent.Executor java.util.concurrent.ScheduledExecutorService ","","","","",java.lang.IllegalArgumentException
54,"IfStatement","null",true,"target executor service ","java.util.concurrent.ExecutorService java.util.concurrent.ScheduledExecutorService ","","","","",java.lang.IllegalArgumentException
55,"IfStatement","null",false,"instance ","","NULL ","","","java.lang.IllegalStateException ",java.lang.IllegalStateException
56,"IfStatement","null",false,"instance ","","NULL ","","","java.lang.IllegalStateException ",java.lang.IllegalStateException
57,"IfStatement","null",true,"ini ","org.apache.shiro.config.Ini boolean org.apache.shiro.util.CollectionUtils ","","isEmpty ","","org.apache.shiro.config.ConfigurationException ",java.lang.NullPointerException
58,"IfStatement","null",false,"security manager ","org.apache.shiro.mgt.SecurityManager ","NULL ","","","java.lang.NullPointerException ",org.apache.shiro.config.ConfigurationException
59,"IfStatement","null",true,"security manager ","org.apache.shiro.mgt.SecurityManager ","NULL ","","","org.apache.shiro.config.ConfigurationException ",java.lang.NullPointerException
60,"IfStatement","null",true,"security manager ","org.apache.shiro.mgt.SecurityManager org.apache.shiro.mgt.RealmSecurityManager ","","","","java.lang.NullPointerException ",org.apache.shiro.config.ConfigurationException
61,"IfStatement","null",true,"seed ","java.util.Map java.util.Map ","NULL ","","","",java.lang.IllegalArgumentException
62,"IfStatement","null",false,"security manager ","org.apache.shiro.mgt.SecurityManager ","NULL ","","IllegalStateException ","",java.lang.IllegalStateException
63,"IfStatement","null",true,"security manager ","org.apache.shiro.mgt.SecurityManager ","NULL ","","","",java.lang.IllegalArgumentException
64,"IfStatement","null",true,"name ","java.lang.String ","NULL ","","RequiredTypeException ","java.lang.NullPointerException org.apache.shiro.env.RequiredTypeException ",java.lang.NullPointerException
65,"IfStatement","null",true,"required type ","java.lang.Class ","NULL ","","RequiredTypeException ","java.lang.NullPointerException org.apache.shiro.env.RequiredTypeException ",java.lang.NullPointerException
66,"IfStatement","null",true,"name ","java.lang.String ","NULL ","","","",java.lang.NullPointerException
67,"IfStatement","null",true,"jndi name ","java.lang.String ","NULL ","","NamingException ","javax.naming.NamingException ",java.lang.IllegalArgumentException
68,"CatchClause","javax.naming.NamingException",false,"resource name required type ","java.lang.String java.lang.Class java.lang.Class java.lang.Object ","NULL ","lookup cast ","","",java.lang.IllegalStateException
69,"CatchClause","org.apache.shiro.authc.AuthenticationException",true,"token info ","org.apache.shiro.authc.AuthenticationInfo org.apache.shiro.authc.AuthenticationToken ","","authenticate ","AuthenticationException ","",org.apache.shiro.authc.AuthenticationException
70,"IfStatement","null",true,"subject ","org.apache.shiro.subject.Subject ","NULL ","","","",java.lang.IllegalArgumentException
71,"IfStatement","null",true,"authenticator ","org.apache.shiro.authc.Authenticator ","NULL ","","IllegalArgumentException ","",java.lang.IllegalArgumentException
72,"CatchClause","java.lang.Exception",true,"subject field current principals ","java.lang.reflect.Field org.apache.shiro.subject.PrincipalCollection org.apache.shiro.subject.Subject java.lang.Object void org.apache.shiro.subject.support.DelegatingSubject ","principals ","setAccessible getDeclaredField get ","","",java.lang.IllegalStateException
73,"IfStatement","null",true,"realm ","org.apache.shiro.realm.Realm ","NULL ","","","",java.lang.IllegalArgumentException
74,"IfStatement","null",true,"realms ","java.util.Collection ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
75,"IfStatement","null",true,"realms ","java.util.Collection boolean ","","isEmpty ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
76,"IfStatement","null",true,"authorizer ","org.apache.shiro.authz.Authorizer ","NULL ","","","",java.lang.IllegalArgumentException
77,"IfStatement","null",false,"","org.apache.shiro.authc.credential.CredentialsMatcher ","NULL ","","AuthenticationException ","org.apache.shiro.authc.IncorrectCredentialsException ",org.apache.shiro.authc.AuthenticationException
78,"IfStatement","null",true,"permission resolver ","org.apache.shiro.authz.permission.PermissionResolver ","NULL ","","","",java.lang.IllegalArgumentException
79,"SwitchStatement","null",false,"salt style ","org.apache.shiro.realm.jdbc.JdbcRealm.SaltStyle ","","","AuthenticationException ","org.apache.shiro.authc.AccountException org.apache.shiro.authc.UnknownAccountException org.apache.shiro.authc.AuthenticationException ",org.apache.shiro.config.ConfigurationException
80,"CatchClause","java.sql.SQLException",false,"data source salt is base64 encoded info conn username salt salt style query results crypt no_salt external ","java.lang.String org.apache.shiro.realm.jdbc.JdbcRealm.SaltStyle java.sql.Connection java.lang.String org.apache.shiro.authc.SimpleAuthenticationInfo org.apache.shiro.util.ByteSource org.apache.shiro.util.ByteSource.Util void javax.sql.DataSource boolean char ","NULL Not implemented yet No account found for user  ","getPasswordForUser bytes setCredentialsSalt getName getSaltForUser decode getConnection toCharArray ","AuthenticationException ","org.apache.shiro.authc.AccountException org.apache.shiro.config.ConfigurationException org.apache.shiro.authc.UnknownAccountException ",org.apache.shiro.authc.AuthenticationException
81,"IfStatement","null",false,"found result ","boolean ","","","SQLException ","",org.apache.shiro.authc.AuthenticationException
82,"IfStatement","null",false,"arg ","java.lang.String ","NULL ","","IllegalStateException ","",java.lang.IllegalStateException
83,"IfStatement","null",false,"jndi names ","java.util.Collection boolean ","NULL ","isEmpty ","IllegalStateException ","java.lang.IllegalStateException ",java.lang.IllegalStateException
84,"CatchClause","java.lang.Exception",false,"realm name realms ","org.apache.shiro.realm.Realm java.lang.String java.util.List java.lang.Object boolean ","","add lookup ","IllegalStateException ","java.lang.IllegalStateException ",java.lang.IllegalStateException
85,"CatchClause","javax.naming.AuthenticationException",true,"token info ","org.apache.shiro.authc.AuthenticationInfo org.apache.shiro.authc.AuthenticationToken org.apache.shiro.realm.ldap.LdapContextFactory ","","ensureContextFactory queryForAuthenticationInfo ","AuthenticationException ","org.apache.shiro.authc.AuthenticationException ",org.apache.shiro.authc.AuthenticationException
86,"CatchClause","javax.naming.NamingException",true,"token info ","org.apache.shiro.authc.AuthenticationInfo org.apache.shiro.authc.AuthenticationToken org.apache.shiro.realm.ldap.LdapContextFactory ","","ensureContextFactory queryForAuthenticationInfo ","AuthenticationException ","org.apache.shiro.authc.AuthenticationException ",org.apache.shiro.authc.AuthenticationException
87,"IfStatement","null",false,"url ","java.lang.String ","NULL ","","NamingException ","",java.lang.IllegalStateException
88,"IfStatement","null",true,"template ","java.lang.String boolean org.apache.shiro.util.StringUtils ","","hasText ","IllegalArgumentException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
89,"IfStatement","null",false,"index ","int ","","","IllegalArgumentException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
90,"IfStatement","null",true,"principal ","java.lang.String boolean org.apache.shiro.util.StringUtils ","","hasText ","IllegalArgumentException IllegalStateException ","",java.lang.IllegalArgumentException
91,"CatchClause","javax.naming.AuthenticationException",true,"token info ","org.apache.shiro.authc.AuthenticationInfo org.apache.shiro.authc.AuthenticationToken org.apache.shiro.realm.ldap.LdapContextFactory ","","getContextFactory queryForAuthenticationInfo ","AuthenticationException ","org.apache.shiro.ldap.UnsupportedAuthenticationMechanismException org.apache.shiro.authc.AuthenticationException ",org.apache.shiro.authc.AuthenticationException
92,"CatchClause","javax.naming.NamingException",true,"token info ","org.apache.shiro.authc.AuthenticationInfo org.apache.shiro.authc.AuthenticationToken org.apache.shiro.realm.ldap.LdapContextFactory ","","getContextFactory queryForAuthenticationInfo ","AuthenticationException ","org.apache.shiro.ldap.UnsupportedAuthenticationMechanismException org.apache.shiro.authc.AuthenticationException ",org.apache.shiro.authc.AuthenticationException
93,"IfStatement","null",false,"url ","java.lang.String ","NULL ","","NamingException IllegalStateException ","",java.lang.IllegalStateException
94,"IfStatement","null",false,"resource path ","java.lang.String int ","NULL ","length ","","",java.lang.IllegalStateException
95,"IfStatement","null",false,"resource path ","java.lang.String int ","NULL ","length ","","",java.lang.IllegalStateException
96,"IfStatement","null",false,"key ","java.lang.String boolean ","","isRolename ","","",java.lang.IllegalStateException
97,"IfStatement","null",false,"ini ","org.apache.shiro.config.Ini boolean org.apache.shiro.util.CollectionUtils ","","isEmpty ","","",java.lang.IllegalStateException
98,"CatchClause","java.text.ParseException",false,"","void ","","processRoleDefinitions processUserDefinitions ","","",org.apache.shiro.config.ConfigurationException
99,"IfStatement","null",true,"target ","org.apache.shiro.session.Session ","NULL ","","","",java.lang.IllegalArgumentException
100,"CatchClause","org.apache.shiro.session.InvalidSessionException",true,"session ","org.apache.shiro.session.Session void ","","doValidate ","InvalidSessionException ","org.apache.shiro.session.ExpiredSessionException ",org.apache.shiro.session.InvalidSessionException
101,"IfStatement","null",true,"session ","org.apache.shiro.session.Session org.apache.shiro.session.mgt.ValidatingSession ","","","InvalidSessionException ","",java.lang.IllegalStateException
102,"IfStatement","null",true,"session manager ","org.apache.shiro.session.mgt.NativeSessionManager ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
103,"IfStatement","null",true,"key ","org.apache.shiro.session.mgt.SessionKey ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
104,"IfStatement","null",true,"key ","org.apache.shiro.session.mgt.SessionKey java.io.Serializable ","NULL ","getSessionId ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
105,"IfStatement","null",true,"key ","org.apache.shiro.session.mgt.SessionKey ","NULL ","","SessionException ","",java.lang.NullPointerException
106,"IfStatement","null",false,"last access time ","java.util.Date ","NULL ","","","",java.lang.IllegalStateException
107,"MethodDeclaration","null",false,"","","","","InvalidSessionException ","",org.apache.shiro.session.InvalidSessionException
108,"IfStatement","null",false,"session id generator ","org.apache.shiro.session.mgt.eis.SessionIdGenerator ","NULL ","","","",java.lang.IllegalStateException
109,"IfStatement","null",true,"session id ","java.io.Serializable ","NULL ","","","",java.lang.IllegalStateException
110,"IfStatement","null",true,"","java.io.Serializable ","NULL ","","","",java.lang.NullPointerException
111,"IfStatement","null",true,"session ","org.apache.shiro.session.Session ","NULL ","","","",java.lang.NullPointerException
112,"IfStatement","null",true,"realm name ","java.lang.String ","NULL ","","","",java.lang.NullPointerException
113,"IfStatement","null",true,"realm name ","java.lang.String ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
114,"IfStatement","null",true,"principal name ","java.lang.String ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
115,"IfStatement","null",true,"realm name ","java.lang.String ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
116,"IfStatement","null",true,"principal name ","java.lang.String ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
117,"IfStatement","null",true,"realm name ","java.lang.String ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
118,"IfStatement","null",true,"principal name ","java.lang.String ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
119,"IfStatement","null",true,"security manager ","org.apache.shiro.mgt.SecurityManager ","NULL ","","","java.lang.IllegalStateException ",java.lang.NullPointerException
120,"IfStatement","null",false,"subject context ","org.apache.shiro.subject.SubjectContext ","NULL ","","","java.lang.NullPointerException ",java.lang.IllegalStateException
121,"IfStatement","null",true,"attribute key ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
122,"IfStatement","null",true,"realm name ","java.lang.String ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
123,"IfStatement","null",true,"principal ","java.lang.Object ","NULL ","","","java.lang.NullPointerException ",java.lang.NullPointerException
124,"IfStatement","null",true,"realm name ","java.lang.String ","NULL ","","","java.lang.NullPointerException java.lang.IllegalArgumentException ",java.lang.NullPointerException
125,"IfStatement","null",true,"principals ","java.util.Collection ","NULL ","","","java.lang.NullPointerException java.lang.IllegalArgumentException ",java.lang.NullPointerException
126,"IfStatement","null",true,"principals ","java.util.Collection boolean ","","isEmpty ","","java.lang.NullPointerException java.lang.NullPointerException ",java.lang.IllegalArgumentException
127,"IfStatement","null",true,"thread state ","org.apache.shiro.util.ThreadState ","NULL ","","IllegalArgumentException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
128,"IfStatement","null",true,"delegate ","java.lang.Runnable ","NULL ","","IllegalArgumentException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
129,"IfStatement","null",true,"thread state ","org.apache.shiro.util.ThreadState ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
130,"IfStatement","null",true,"delegate ","java.util.concurrent.Callable ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
131,"IfStatement","null",true,"security manager ","org.apache.shiro.mgt.SecurityManager ","NULL ","","","",java.lang.IllegalArgumentException
132,"IfStatement","null",true,"session ","org.apache.shiro.session.Session ","NULL ","","","",java.lang.IllegalArgumentException
133,"IfStatement","null",false,"principals ","org.apache.shiro.subject.PrincipalCollection boolean ","NULL ","isEmpty ","AuthenticationException ","",java.lang.IllegalStateException
134,"IfStatement","null",false,"","boolean ","","hasPrincipals ","","",java.lang.IllegalStateException
135,"IfStatement","null",true,"principals ","org.apache.shiro.subject.PrincipalCollection boolean ","","isEmpty ","NullPointerException ","",java.lang.NullPointerException
136,"IfStatement","null",true,"subject ","org.apache.shiro.subject.Subject ","NULL ","","","",java.lang.IllegalArgumentException
137,"IfStatement","null",false,"instance ","","NULL ","","","",java.lang.IllegalStateException
138,"IfStatement","null",true,"pattern ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
139,"IfStatement","null",true,"type ","java.lang.Object java.lang.Class java.lang.Class boolean ","","getClass isAssignableFrom ","","",java.lang.IllegalArgumentException
140,"IfStatement","null",true,"key ","java.lang.Object ","NULL ","","","",java.lang.IllegalArgumentException
141,"MethodDeclaration","null",false,"","","","","AuthenticationException ","",org.apache.shiro.authc.AuthenticationException
142,"MethodDeclaration","null",false,"","","","","AuthenticationException ","",java.lang.IllegalArgumentException
143,"MethodDeclaration","null",false,"","","","","AuthenticationException ","",java.lang.IllegalArgumentException
144,"CatchClause","java.lang.InterruptedException",true,"millis ","long void java.lang.Thread ","","sleep ","","",java.lang.IllegalStateException
145,"CatchClause","java.lang.InterruptedException",true,"millis ","long void java.lang.Thread ","","sleep ","","",java.lang.IllegalStateException
146,"IfStatement","null",true,"random ","java.security.SecureRandom ","NULL ","","NullPointerException ","",java.lang.NullPointerException
147,"IfStatement","null",true,"default next bytes size ","int ","","","IllegalArgumentException ","",java.lang.IllegalArgumentException
148,"IfStatement","null",true,"num bytes ","int ","","","","",java.lang.IllegalArgumentException
149,"IfStatement","null",true,"cache ","net.sf.ehcache.Ehcache ","NULL ","","","",java.lang.IllegalArgumentException
150,"CatchClause","java.lang.Throwable",true,"cache element key log ","net.sf.ehcache.Element org.slf4j.Logger net.sf.ehcache.Ehcache void boolean java.lang.Object java.lang.String ","NULL Getting object from cache  ] is null. ] for key  Element for  ","isTraceEnabled trace getObjectValue get getName ","CacheException ","",org.apache.shiro.cache.CacheException
151,"CatchClause","java.lang.Throwable",true,"cache element key previous value ","net.sf.ehcache.Element net.sf.ehcache.Ehcache void ","","get put ","CacheException ","",org.apache.shiro.cache.CacheException
152,"CatchClause","java.lang.Throwable",true,"cache key previous ","net.sf.ehcache.Ehcache boolean ","","remove get ","CacheException ","",org.apache.shiro.cache.CacheException
153,"CatchClause","java.lang.Throwable",false,"cache ","net.sf.ehcache.Ehcache void ","","removeAll ","CacheException ","",org.apache.shiro.cache.CacheException
154,"CatchClause","java.lang.Throwable",false,"cache ","net.sf.ehcache.Ehcache int ","","getSize ","","",org.apache.shiro.cache.CacheException
155,"CatchClause","java.lang.Throwable",false,"cache keys ","java.util.List java.util.Collections java.util.Set net.sf.ehcache.Ehcache java.util.List java.util.LinkedHashSet java.lang.SuppressWarnings boolean ","unchecked ","emptySet unmodifiableSet isEmpty getKeys ","","",org.apache.shiro.cache.CacheException
156,"CatchClause","java.lang.Throwable",false,"values cache key keys value ","java.util.List java.util.List java.util.Collections net.sf.ehcache.Ehcache boolean java.util.List int java.lang.SuppressWarnings java.util.ArrayList ","unchecked NULL ","get size unmodifiableList add emptyList isEmpty getKeys ","","",org.apache.shiro.cache.CacheException
157,"CatchClause","java.lang.Throwable",false,"cache ","net.sf.ehcache.Ehcache long ","","getMemoryStoreSize ","","",org.apache.shiro.cache.CacheException
158,"CatchClause","java.lang.Throwable",false,"cache ","net.sf.ehcache.Ehcache int ","","getDiskStoreSize ","","",org.apache.shiro.cache.CacheException
159,"CatchClause","java.io.IOException",false,"config file ","java.lang.String java.io.InputStream org.apache.shiro.io.ResourceUtils ","","getInputStreamForPath ","","",java.lang.IllegalStateException
160,"CatchClause","net.sf.ehcache.CacheException",true,"cache name manager log ","org.slf4j.Logger net.sf.ehcache.Ehcache java.lang.String net.sf.ehcache.CacheManager void boolean org.apache.shiro.cache.ehcache.EhCache net.sf.ehcache.Cache ","Using existing EHCache named  Cache with name '{}' does not yet exist.  Creating now. Added EhCache named  NULL ","isInfoEnabled info getEhcache addCache ensureCacheManager getName getCache ","CacheException ","",org.apache.shiro.cache.CacheException
161,"CatchClause","java.lang.Exception",false,"manager log cache manager implicitly created ","org.slf4j.Logger net.sf.ehcache.CacheManager boolean void java.io.InputStream ","NULL instantiated Ehcache CacheManager instance. implicit cacheManager created successfully. cacheManager property not set.  Constructing CacheManager instance...  ","debug isDebugEnabled getCacheManagerConfigFileInputStream isTraceEnabled trace ","","",org.apache.shiro.cache.CacheException
