@relation "itext"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.lang.IndexOutOfBoundsException,com.itextpdf.kernel.PdfException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,com.itextpdf.barcodes.qrcode.WriterException,com.itextpdf.io.IOException,java.io.IOException,java.lang.IllegalStateException,com.itextpdf.io.codec.brotli.dec.BrotliRuntimeException,com.itextpdf.io.font.woff2.FontCompressionException,java.io.EOFException,com.itextpdf.kernel.xmp.XMPException,com.itextpdf.pdfa.PdfAConformanceException,com.itextpdf.svg.exceptions.SvgProcessingException}

@data
55,"IfStatement","null",true,"for_bits length bits ","int com.itextpdf.barcodes.qrcode.ErrorCorrectionLevel ","","","","",java.lang.IllegalArgumentException
56,"IfStatement","null",true,"mask pattern ","int ","","isValidMaskPattern ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
57,"SwitchStatement","null",true,"mask pattern ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
58,"IfStatement","null",false,"value ","int ","","","","",java.lang.RuntimeException
59,"IfStatement","null",true,"bit index data bits ","int com.itextpdf.barcodes.qrcode.BitVector ","","size ","WriterException ","",com.itextpdf.barcodes.qrcode.WriterException
60,"IfStatement","null",true,"mask pattern ","int ","","isValidMaskPattern ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
61,"IfStatement","null",true,"bits ","com.itextpdf.barcodes.qrcode.BitVector ","","size ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
62,"IfStatement","null",true,"bits ","com.itextpdf.barcodes.qrcode.BitVector ","","size ","WriterException ","",com.itextpdf.barcodes.qrcode.WriterException
63,"IfStatement","null",true,"matrix ","int com.itextpdf.barcodes.qrcode.ByteMatrix ","","get isValidValue ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
64,"IfStatement","null",true,"matrix ","int com.itextpdf.barcodes.qrcode.ByteMatrix ","","get isValidValue ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
65,"IfStatement","null",true,"matrix ","com.itextpdf.barcodes.qrcode.ByteMatrix ","","get getHeight ","WriterException ","",com.itextpdf.barcodes.qrcode.WriterException
66,"IfStatement","null",false,"horizontal_separation_pattern length ","int int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
67,"IfStatement","null",true,"matrix y start x start ","int com.itextpdf.barcodes.qrcode.ByteMatrix ","","get isEmpty ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
68,"IfStatement","null",false,"vertical_separation_pattern length ","int int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
69,"IfStatement","null",true,"matrix y start x start ","int com.itextpdf.barcodes.qrcode.ByteMatrix ","","get isEmpty ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
70,"IfStatement","null",false,"length position_adjustment_pattern ","int int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
71,"IfStatement","null",true,"matrix y start x start ","int com.itextpdf.barcodes.qrcode.ByteMatrix ","","get isEmpty ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
72,"IfStatement","null",false,"length position_detection_pattern ","int int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
73,"IfStatement","null",true,"matrix y start x start ","int com.itextpdf.barcodes.qrcode.ByteMatrix ","","get isEmpty ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
74,"IfStatement","null",true,"height width ","int ","","","","",java.lang.IllegalArgumentException
75,"IfStatement","null",true,"left top ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
76,"IfStatement","null",true,"height width ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
77,"IfStatement","null",true,"height bottom right width ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
78,"IfStatement","null",false,"height width ","int ","","","","",java.lang.RuntimeException
79,"IfStatement","null",true,"qr code ","com.itextpdf.barcodes.qrcode.QRCode ","","isValid ","WriterException ","",com.itextpdf.barcodes.qrcode.WriterException
80,"MethodDeclaration","null",true,"num input bytes num data bytes ","int ","","","WriterException ","",com.itextpdf.barcodes.qrcode.WriterException
81,"IfStatement","null",true,"capacity bits ","int com.itextpdf.barcodes.qrcode.BitVector ","","size ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
82,"IfStatement","null",true,"bits ","com.itextpdf.barcodes.qrcode.BitVector ","","size ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
83,"IfStatement","null",true,"capacity bits ","int com.itextpdf.barcodes.qrcode.BitVector ","","size ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
